id,date,start_time,away_team,home_team,sl_away_pred,sl_home_pred,gdo_away_pred,gdo_home_pred,gdo_v4_favorite,gdo_v4_confidence,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,underdog_runline_odds,favorite_runline_odds,over_total_line_odds,under_total_line_odds,underdog_moneyline_odds,favorite_moneyline_odds
31014,20260122,17:00,TXST,CCAR,69,73,67,73,TXST,52.7,70,72,CCAR,140.5,CCAR,-2.5,-118,-102,-112,-108,120,-142
31015,20260122,17:00,EKY,UNFL,85,78,81,82,EKY,60.9,85,87,EKY,164.5,EKY,-6.5,-105,-115,-112,-108,245,-305
31016,20260122,17:00,BELL,JAC,74,78,70,71,JAC,70.2,77,70,JAC,138.5,JAC,-3.5,-102,-118,-105,-115,150,-180
31017,20260122,17:00,MONM,HAMP,66,73,64,65,HAMP,52.2,63,65,HAMP,135.5,HAMP,-1.5,-122,102,-108,-112,-108,-112
31018,20260122,17:00,USF,UAB,78,86,80,80,USF,70.1,82,69,USF,168.5,USF,-2.5,-105,-115,-110,-110,130,-155
31019,20260122,17:00,WIS,PSU,82,79,81,70,WIS,88.0,98,71,WIS,157.5,WIS,-5.5,-108,-112,-112,-108,220,-270
31020,20260122,17:00,MACK,IONA,69,73,67,66,MACK,58.6,60,61,MACK,140.5,MACK,-1.5,-122,102,-112,-108,-105,-115
31021,20260122,17:00,QPAC,MTSTM,73,70,71,70,QPAC,77.5,77,62,QPAC,146.5,QPAC,-4.5,-102,-118,-115,-105,180,-218
31022,20260122,17:00,NIAG,FAIR,67,77,66,71,FAIR,61.8,61,62,FAIR,139.5,FAIR,-10.5,-120,100,-108,-112,410,-550
31023,20260122,17:00,CANI,SHU,66,80,68,78,SHU,71.8,66,69,SHU,144.5,SHU,-10.5,-110,-110,-108,-112,470,-650
31024,20260122,17:00,MRST,SIEN,69,68,66,67,SIEN,55.3,50,69,SIEN,134.5,SIEN,-1.5,-122,102,-110,-110,-105,-115
31025,20260122,17:00,UNCW,WMRY,78,75,73,80,WMRY,50.7,70,77,WMRY,157.5,WMRY,-2.5,-110,-110,-108,-112,120,-142
31026,20260122,17:00,CAMP,COC,69,82,75,82,COC,78.4,83,87,COC,160.5,COC,-3.5,-112,-108,-108,-112,142,-170
31027,20260122,17:00,UWM,RMU,73,81,73,78,RMU,75.1,76,88,RMU,151.5,RMU,-4.5,-102,-118,-112,-108,180,-218
31028,20260122,17:00,STON,NEAS,68,80,75,78,STON,68.2,95,80,NEAS,147.5,NEAS,-3.5,-105,-115,-105,-115,154,-185
31029,20260122,17:30,WIU,MORE,64,73,66,73,MORE,83.6,66,71,MORE,139.5,MORE,-8.5,-112,-108,-108,-112,340,-440
31030,20260122,18:00,UND,ORAL,77,76,76,69,UND,66.6,79,62,ORAL,147.5,ORAL,-1.5,-115,-105,-108,-112,102,-122
31031,20260122,18:30,UALR,SEMO,70,77,71,75,SEMO,61.6,65,70,SEMO,147.5,SEMO,-5.5,-112,-108,-105,-115,215,-265
31032,20260122,18:30,TNTC,Linden,71,74,66,78,Linden,74.9,68,89,Linden,151.5,Linden,-8.5,-112,-108,-110,-110,330,-425
31033,20260122,18:30,EIU,SOIN,65,71,64,66,SOIN,52.3,59,51,SOIN,134.5,SOIN,-2.5,-110,-110,-112,-108,120,-142
31034,20260122,19:00,SAC,IDHO,69,81,73,82,IDHO,82.8,76,86,IDHO,160.5,IDHO,-11.5,-108,-112,-105,-115,500,-700
31035,20260122,19:00,PRST,EWU,77,73,73,70,PRST,51.9,65,61,PRST,150.5,PRST,-2.5,-105,-115,-105,-115,124,-148
31036,20260122,19:00,TNST,SIUE,71,74,68,73,SIUE,66.8,66,74,SIUE,142.5,SIUE,-1.5,-118,-102,-115,-105,-102,-118
31037,20260122,19:00,FIU,UTEP,71,74,73,74,UTEP,69.7,77,83,FIU,149.5,FIU,-1.5,-118,-102,-112,-108,-102,-118
31038,20260122,19:00,SDKS,STMN,75,84,75,80,STMN,59.7,69,74,STMN,155.5,STMN,-6.5,-102,-118,-105,-115,250,-310
31039,20260122,19:00,NDSU,DEN,82,77,79,72,NDSU,82.2,82,77,NDSU,158.5,NDSU,-4.5,-108,-112,-108,-112,164,-198
31040,20260122,19:00,CP,CASB,74,86,74,87,CASB,97.3,67,107,CASB,159.5,CASB,-8.5,-102,-118,-105,-115,350,-455
31041,20260122,19:00,UCSD,UCD,81,73,75,72,UCSD,66.5,80,74,UCSD,151.5,UCSD,-1.5,-110,-110,-105,-115,105,-125
31042,20260122,19:00,WEB,MONT,72,83,71,81,MONT,77.3,65,81,MONT,157.5,MONT,-3.5,-102,-118,-110,-110,170,-205
31043,20260122,19:00,IDST,MTST,71,79,73,74,MTST,72.2,62,74,MTST,144.5,MTST,-6.5,-112,-108,-105,-115,225,-278
31044,20260122,19:00,MOST,NMSU,68,74,73,71,MOST,50.9,84,75,NMSU,143.5,NMSU,-6.5,-110,-110,-110,-110,220,-270
31045,20260122,20:00,LBS,CASTF,75,77,75,81,CASTF,59.9,61,71,CASTF,160.5,CASTF,-3.5,-112,-108,-110,-110,140,-166
31046,20260122,20:00,UCI,CARIV,76,69,77,69,UCI,71.5,80,66,UCI,142.5,UCI,-8.5,-118,-102,-105,-115,310,-395
31047,20260122,21:59,CSUB,HAW,64,78,67,82,HAW,94.3,71,98,HAW,144.5,HAW,-16.5,-112,-108,-105,-115,1000,-1800
31048,20260123,10:00,ULM,APP,63,80,59,76,APP,96.4,43,59,APP,144.5,APP,-16.5,-108,-112,-105,-115,1100,-2100
31049,20260123,11:00,STET,PEAY,68,81,71,81,PEAY,84.5,65,73,PEAY,147.5,PEAY,-16.5,-112,-108,-115,-105,1000,-1800
31050,20260123,11:00,FGCU,LIPS,76,84,73,79,LIPS,74.9,71,86,LIPS,154.5,LIPS,-5.5,-102,-118,-105,-115,210,-258
31051,20260123,11:00,ECU,UNT,60,75,63,72,UNT,64.0,63,59,UNT,134.5,UNT,-10.5,-115,-105,-115,-105,440,-600
31052,20260123,11:00,MHRT,UNHV,66,63,65,68,UNHV,69.1,61,57,MHRT,122.5,MHRT,-1.5,-110,-110,-108,-112,102,-122
31053,20260123,12:00,KSW,LT,69,75,71,70,KSW,65.1,76,82,KSW,144.5,KSW,-1.5,-115,-105,-115,-105,105,-125
31054,20260123,13:00,FUR,UNCG,77,73,74,73,FUR,53.0,89,66,FUR,150.5,FUR,-4.5,-112,-108,-108,-112,160,-192
31055,20260123,15:30,STLOU,STBON,82,74,87,72,STLOU,96.2,97,62,STLOU,158.5,STLOU,-7.5,-115,-105,-115,-105,270,-340
31056,20260123,16:00,IND,RUTG,79,70,77,66,IND,82.4,82,59,IND,147.5,IND,-7.5,-110,-110,-108,-112,270,-340
31057,20260123,17:00,CHSO,LONG,77,78,74,77,LONG,75.2,79,81,CHSO,156.5,CHSO,-1.5,-118,-102,-105,-115,-102,-118
31058,20260123,17:00,USCU,WEBB,77,71,73,71,WEBB,60.4,65,67,USCU,152.5,USCU,-11.5,-115,-105,-115,-105,550,-800
31059,20260123,17:00,UMASS,BUFF,76,80,79,78,BUFF,59.0,68,67,BUFF,159.5,BUFF,-1.5,-125,105,-108,-112,-112,-108
31060,20260123,17:00,CHSU,SFU,69,76,66,76,SFU,80.6,60,81,SFU,143.5,SFU,-3.5,-115,-105,-108,-112,154,-185
31061,20260123,17:00,LIU,STNH,71,69,71,65,LIU,61.4,66,63,LIU,137.5,LIU,-6.5,-105,-115,-110,-110,260,-325
31062,20260123,17:00,WAG,LMC,69,76,70,71,LMC,58.0,67,69,LMC,144.5,LMC,-8.5,-112,-108,-108,-112,320,-410
